material,pawn_structure,mobility,king_safety,tempo,total,position_id
0.1,0.2,0.2,0.0,0.1,0.2,ff6875a6_0
2.0,0.25,0.75,-0.25,0.25,2.0,ff6875a6_1
2.0,0.25,0.75,0.5,0.25,1.75,ff6875a6_2
2.0,-0.25,0.75,-0.25,0.5,2.75,ff6875a6_3_rand1
2.0,0.25,0.5,-0.5,0.25,2.5,ff6875a6_4
2.0,0.2,0.3,-0.5,0.2,2.2,ff6875a6_5_rand4
1.0,-0.5,-0.75,-0.5,-1.0,-1.75,ff6875a6_6
2.0,0.25,0.75,-0.25,0.25,3.0,ff6875a6_7
2.0,0.25,0.75,-0.25,0.25,3.0,ff6875a6_8
3.0,0.25,0.5,0.25,0.0,2.0,ff6875a6_9
2.0,0.25,0.5,0.75,0.25,1.5,ff6875a6_10_rand3
5.0,0.2,0.1,0.3,0.0,5.6,ff6875a6_11
-5.0,-0.25,-0.5,-1.0,0.25,-6.5,ff6875a6_12_rand5
0.0,-0.2,-0.1,0.0,-0.1,-0.3,fbfb45f9_0
0.1,-0.1,-0.2,0.0,-0.1,-0.3,fbfb45f9_1
2.0,0.25,0.75,-0.5,0.5,3.0,fbfb45f9_2
0.5,0.25,0.75,-0.5,0.5,0.5,fbfb45f9_3
2.0,0.25,1.0,0.75,0.5,2.5,fbfb45f9_4
2.0,0.5,0.75,-1.5,1.0,1.75,fbfb45f9_5_rand1
0.25,0.5,0.75,0.5,0.5,0.5,fbfb45f9_6
2.5,0.25,1.0,0.75,0.5,5.0,fbfb45f9_7
2.5,-0.25,1.0,1.0,0.75,5.0,fbfb45f9_8
2.5,0.25,1.0,0.75,0.5,2.0,fbfb45f9_9_rand4
2.5,0.25,0.75,-1.0,0.5,2.0,fbfb45f9_10
3.0,0.2,0.5,1.0,0.3,2.5,fbfb45f9_11_rand2
0.3,0.1,0.4,0.0,0.2,1.0,ee9fe90a_0
2.0,0.25,0.75,-0.5,0.5,3.0,ee9fe90a_1
0.1,0.2,0.3,0.0,0.1,0.3,bcefb09e_0
0.0,-0.1,-0.2,0.0,-0.1,-0.2,bcefb09e_1_rand2
1.5,0.25,0.75,-0.25,0.5,2.75,bcefb09e_2
0.75,-0.25,0.5,-1.0,0.5,0.5,bcefb09e_3_rand1
-2.5,-0.25,0.5,-1.0,0.25,-3.0,bcefb09e_4
3.0,0.5,1.5,1.0,1.0,3.0,bcefb09e_5
2.0,0.25,1.0,0.5,0.75,2.5,bcefb09e_6
-0.25,0.25,-0.5,-0.25,-0.25,-0.5,bcefb09e_7
2.5,0.0,0.75,-0.5,0.25,3.0,bcefb09e_8_rand5
0.25,-0.1,-0.2,-0.1,-0.05,-0.2,bcefb09e_9
0.25,-0.25,-0.5,-0.25,-0.25,-0.5,bcefb09e_10
1.5,0.0,0.25,-0.25,0.0,1.5,bcefb09e_11_rand5
0.25,-0.25,-0.15,0.0,-0.1,-0.25,dc8170d4_0
1.5,0.25,0.75,0.25,0.5,2.25,dc8170d4_1
0.3,-0.1,0.4,-0.2,0.2,0.6,dc8170d4_2
1.5,0.25,0.75,0.25,0.5,1.25,dc8170d4_3_rand4
0.3,-0.1,0.4,-0.2,0.2,0.6,dc8170d4_4
0.1,0.2,0.2,0.0,0.1,0.2,84b6c22d_0
0.1,-0.1,-0.2,0.0,-0.1,-0.2,84b6c22d_1_rand2
0.25,0.1,0.3,0.0,0.15,0.8,84b6c22d_2
2.0,0.25,0.75,0.5,0.5,4.0,84b6c22d_3
0.25,-0.25,-0.25,0.5,0.0,0.0,84b6c22d_4
0.25,-0.25,0.75,0.5,0.5,0.75,84b6c22d_5
1.5,0.25,0.75,-0.25,0.5,2.75,84b6c22d_6
0.3,0.1,0.4,0.0,0.2,1.0,064c4f75_0
0.0,0.25,-0.25,-0.5,-0.25,-0.25,064c4f75_1
0.3,-0.1,0.4,0.0,0.2,0.8,064c4f75_2
0.25,-0.25,-0.75,-0.5,-0.5,-0.75,064c4f75_3_rand3
-0.25,0.0,0.5,0.25,0.0,0.0,064c4f75_4
0.3,0.1,0.4,0.0,0.2,1.0,77dc9a09_0
0.0,0.2,-0.3,-0.1,-0.1,-0.1,77dc9a09_1_rand5
0.3,0.1,0.4,0.0,0.2,1.0,77dc9a09_2
0.1,-0.1,-0.2,-0.1,-0.1,-0.2,77dc9a09_3
0.3,0.1,0.4,-0.1,0.2,0.4,77dc9a09_4_rand3
-9.0,-0.5,0.5,-1.0,0.0,-10.0,77dc9a09_5
-7.0,-0.5,0.5,-1.0,0.0,-8.0,77dc9a09_6_rand2
2.0,0.25,0.75,0.5,0.5,1.5,77dc9a09_7
2.0,0.5,0.25,-1.5,0.5,1.75,77dc9a09_8
0.3,0.1,0.4,0.0,0.2,1.0,87f03879_0
0.25,-0.25,0.75,0.5,0.5,0.75,87f03879_1
